Hours/week Social Media; Wie viele Stunden pro Woche nutzen Sie Social Media?;undefined;;7;;20;;5;;7;;10;;10;;10;;8;;6;;6;;5;;5;;10;;5;;10;;6;;10;;14;;8;;8;;6;;21;;10;;14;;1;;0;;15;;5;;5;;6;;10;;1;;1;;4;;12;;35;;21;;8;;6;;8;;25;;25;;6;;10;;10;;5;;4;;5;;2;;2;;6;;3;;4;;8;;5;;14;;3;;8;;5;;7;;40;;10;;21;;5;;5;;7;;6;;10;;10;;20;;12;;10;;8;;7;;40;;16;;7;;7;;6;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hours/week Online-newspaper; Wie viele Stunden pro Woche nutzen Sie Online-Zeitungen?;undefined;;0;;0;;2;;2;;0;;0;;1;;0;;2;;01. Mai;;5;;0;;1;;3;;0.0;;4;;0.1;;1;;2;;4;;1;;0;;2;;0;;1;;1;;0;;1;;1;;1;;1;;1;;1;;5;;0;;0;;0;;1;;1;;7;;5;;3;;2;;1;;1;;1;;5;;1;;2;;1;;1;;0;;4;;5;;5;;1;;0;;4;;4;;0.5;;5;;0;;1;;4;;5;;0;;2;;1;;3;;0;;0;;1;;1;;0;;4;;2;;0;;0;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hours/Week TV; Wie viele Stunden pro Woche nutzen Sie den Fernseher?;undefined;;0;;0;;1;;1;;0;;0;;0.0;;0;;1;;7;;0;;0;;0;;3;;0.0;;0;;20;;10;;0;;0;;2;;0;;7;;0;;0;;0;;1;;0;;0;;0;;1;;0;;0;;0;;18;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;4;;10;;0;;0;;0;;0;;5;;0;;0;;0;;0;;0;;0;;0;;0;;0;;4;;0;;0;;0;;5;;0;;0;;0;;0;;2;;0;;0;;0;;3;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hours/week Radio; Wie viele Stunden pro Woche nutzen Sie das Radio?;undefined;;0;;0;;2;;4;;0;;0;;0.30;;1;;5;;0;;0;;0;;2;;10;;03. Mai;;0;;2;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;1;;2;;0;;0;;10;;2;;0;;7;;1;;16;;0;;0;;0;;4;;0;;0;;0;;10;;0;;2;;2;;0;;0;;0;;0;;3;;0;;0;;0;;0;;0;;0;;0;;0;;0;;3;;0;;2;;1;;15;;0;;0;;03. Mai;;16;;0;;2;;0;;1;;0;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ever participated in hearing test;Haben Sie schon einmal an einem H?rtest/-experiment teilgenommen?;;;Nein;;Nein;;Nein;;Nein;;Ja;;Ja;;Nein;;Ja;;Nein;;Nein;;Ja;;Nein;;Nein;;Nein;;Ja;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Ja;;Nein;;Nein;;Ja;;Nein;;Ja;;Nein;;Ja;;Ja;;Ja;;Nein;;Nein;;Ja;;Ja;;Nein;;Nein;;Ja;;Ja;;Nein;;Ja;;Nein;;Nein;;Nein;;Ja;;Nein;;Ja;;Nein;;Nein;;Ja;;Nein;;Nein;;Nein;;Ja;;Ja;;Ja;;Nein;;Nein;;Nein;;Nein;;Ja;;Nein;;Nein;;Ja;;Ja;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Ja;;Nein;;Nein;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
if yes (year);Wenn Ja: Wann? (Jahr);undefined;;null;;null;;null;;null;;2018;;2015;;null;;2024;;null;;null;;2024;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;2024;;null;;null;;null;;null;;2024;;null;;2024;;2024;;2024;;null;;null;;2021;;2024;;null;;null;;2024;;null;;null;;2024;;null;;null;;null;;null;;null;;null;;null;;null;;2024;;null;;null;;null;;2024;;2022;;2020;;null;;null;;null;;null;;null;;null;;null;;null;;2024;;null;;null;;null;;null;;null;;null;;2024;;null;;null;;null;;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
regularly work with audiotechnique;Haben Sie regelmäßig (z.B. über Ihre Arbeit) mit Audiotechnikverfahren/-forschung zu tun?;;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
if not, in the past;Wenn Nein: Hatten Sie fr?her einmal damit zu tun?;;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;null;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;null;;Nein;;Nein;;Nein;;Nein;;Ja;;Ja;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
if yes (year);Wenn Ja: Wann? (Jahr);undefined;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;2022;;2023;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
concentrations-/hearing problems;Haben Sie Konzentrations- oder H?rschw?chen?;;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Ja;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Ja;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Ja;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
if yes, have treatment (hearing device, medicine);Wenn Ja: Benutzen Sie Hilfsmittel (z.B. Hörgerät, Medikamente)?;;;null;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;null;;Nein;;Nein;;Nein;;Nein;;Nein;;null;;Nein;;Nein;;null;;null;;Nein;;Nein;;Nein;;Nein;;Nein;;null;;Nein;;Nein;;Nein;;null;;null;;Nein;;null;;Nein;;Nein;;Nein;;Nein;;null;;Nein;;null;;Nein;;Nein;;null;;null;;Nein;;Nein;;Nein;;null;;null;;null;;Nein;;null;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;null;;Nein;;Nein;;null;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;null;;Nein;;Nein;;Nein;;Nein;;Nein;;null;;Nein;;null;;Nein;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
if yes what;Wenn Ja: Welche? (Wenn Sie spezielle Medikamente einnehmen ist es ausreichend mit 'Medikamente' zu antworten);undefined;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;nein;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
